ID;descrizione;prezzo;data_ins_prezzo;fornitore;settore
1;Caldaia Cosmogas modello Novadens 24 K con microaccumulo cod. 111005508;1942,92;19/01/2023;Nuova Sirt;Caldaia
2;Caldaia Cosmogas modello Novadens 34K cod. 11195508 con microaccumulo;2130,84;06/04/2022;Nuova Sirt;Caldaia
3;Caldaia Cosmogas modello Mydens 24 P istantanea cod.  1A6500008;1482,84;02/01/2023;Nuova Sirt;Caldaia
4;Caldaia Cosmogas  modello Mydens 34 P istantanea cod. 1A6900008;1685,88;02/01/2023;Nuova Sirt;Caldaia
5;Tubo prolunga m.f. in polipropilene d. 80 lunghezza 1000mm Cosmogas cod. 62617236;19,98;19/01/2023;Nuova Sirt;Tubazioni caldaia
6;Tubo prolunga m.f. in polipropilene d. 80 lunghezza 500mm Cosmogas cod. 62617282;14,69;19/01/2023;Nuova Sirt;Tubazioni caldaia
7;Curva m.f. 90° in polipropilene d. 80 Cosmogas cod. 62617244;16,04;19/01/2023;Nuova Sirt;Tubazioni caldaia
8;Kit scarico sdoppiato d. 80/80 PP Cosmogas cod. 62617226;44,82;31/03/2025;Nuova Sirt;Tubazioni caldaie
9;Wc Pozzi Ginori Colibri 2 sc/pav bianco art. 63300000;34;15/06/2018;Unicom;Sanitari
10;Sedile Pozzi Ginori Colibri 2 art. 63760000;25,43;15/06/2018;Unicom;Sanitari
11;Lavabo Pozzi Ginori Colibri 2 bianco art. 63040000;31,92;15/06/2018;Unicom;Sanitari
12;Colonna Pozzi Ginori Colibri 2 art. 63150000;22,18;15/06/2018;Unicom;Sanitari
13;Bidet Pozzi Ginori Colibri 2 bianco art. 63250000;33,02;15/06/2018;Unicom;Sanitari
14;Miscelatore Ecostyle per bidet c/ scarico snodo orientab. Art. BTESTCBI01;36,68;07/06/2017;Unicom;Rubinetteria
15;Miscelatore Ecostyle per lavabo c/ scarico art. BTESTCLA01;36,68;07/06/2017;Unicom;Rubinetteria
16;Placca Geberit Sigma 2 tasti bianca art. 115.770.11.5;29,17;15/06/2018;Unicom;Sanitari
17;Piatto doccia Pozzi Ginori Nilo ceramica b.co 90x70 art. 60181000;71,27;07/06/2017;Unicom;Sanitari
18;Miscelatore doccia Ideal Standard Ceraplan 3 art. A6382AA;43,49;07/06/2017;Unicom;Rubinetteria
19;Cassetta da incasso Geberit Sigma 8 art. 109.790.00.1;85,55;07/06/2017;Unicom;Sanitari
20;Cassetta Combifix Sigma 8 cm per wc sospeso art. 110.790.00.1;132;07/06/2017;Unicom;Sanitari
21;Tubo rame d. 28X1 in verghe pezzo al MT;6,5;26/04/2017;bertani;rame
22;Tubo rame 28x1,5 in verghe prezzo al MT;9,8;26/07/2017;bertani;rame
23;Tubo rame d. 14 in rotoli isolato al MT NB da unicom costa 1,5€ in piu;2,38;26/07/2017;bertani;rame
24;Tubo multistrato multy nudo d. 50 al mt;9,5;26/07/2017;Unicom;multy
25;Tubo multistrato multy d. 16 rotoli isolato al MT;0,813;26/07/2017;Unicom;multy
